R,P,region,max_rbm_residual,mean_rbm_residual
15,38,mature lower,2.259393e-06,1.9443795e-06
15,37,mature lower,2.168305e-06,1.8615625e-06
15,36,mature lower,2.253299e-06,1.938913e-06
15,35,mature lower,2.19393e-06,1.9066177499999999e-06
15,34,mature lower,2.191166e-06,1.9306475e-06
15,33,mature lower,2.183504e-06,1.97468575e-06
15,32,mature lower,2.151488e-06,1.9231110000000004e-06
15,31,mature lower,2.22945e-06,1.884104e-06
15,30,mature lower,2.203491e-06,1.9026340000000003e-06
15,29,mature lower,2.177826e-06,1.8931985e-06
15,28,mature lower,2.124387e-06,1.9013855e-06
15,27,mature lower,2.156628e-06,1.886735e-06
15,26,mature lower,2.24026e-06,1.89917425e-06
15,25,mature lower,2.240297e-06,1.9302565e-06
15,24,mature lower,2.198361e-06,1.9153939999999997e-06
15,23,mature lower,2.178415e-06,1.8926432499999999e-06
15,22,mature lower,2.190397e-06,1.90840125e-06
15,21,mature lower,2.163168e-06,1.9246645e-06
15,20,mature lower,2.230759e-06,1.9375932499999997e-06
15,19,mature lower,2.143095e-06,1.8670349999999998e-06
15,18,mature lower,2.1893e-06,1.91845475e-06
15,17,mature lower,2.188085e-06,1.91942225e-06
15,16,mature lower,2.146294e-06,1.94822575e-06
15,15,mature lower,2.21336e-06,1.936863e-06
15,14,mature lower,2.158443e-06,1.91122725e-06
15,13,mature lower,2.268955e-06,1.91759825e-06
15,12,mature lower,2.106736e-06,1.89847125e-06
15,11,mature lower,2.262843e-06,1.9343802499999998e-06
15,10,mature lower,2.256388e-06,1.9274455e-06
15,9,mature lower,2.17952e-06,1.9584155e-06
15,8,mature lower,2.201147e-06,1.9216357500000002e-06
15,7,mature lower,2.174158e-06,1.91302575e-06
15,6,mature lower,2.224578e-06,1.9032865000000002e-06
15,5,mature lower,2.156116e-06,1.8722910000000002e-06
15,4,mature lower,2.132082e-06,1.89003e-06
15,3,mature lower,2.124668e-06,1.918865e-06
15,2,mature lower,2.177143e-06,1.9659835e-06
15,1,mature lower,2.113234e-06,1.88764125e-06
15,0,mature lower,2.155893e-06,1.9010529999999999e-06
15,45,first upper,0.000508,0.000484
15,46,second upper,2.110485e-06,2.0194815e-06
15,47,mature upper,1.945653e-06,1.7827879999999998e-06
15,48,mature upper,2.318931e-06,2.02114125e-06
15,49,mature upper,2.312086e-06,2.0560399999999997e-06
15,50,mature upper,2.259392e-06,1.94437775e-06
15,51,mature upper,2.168307e-06,1.8615645e-06
15,52,mature upper,2.253285e-06,1.93891775e-06
15,53,mature upper,2.193905e-06,1.90660575e-06
15,54,mature upper,2.19108e-06,1.930604e-06
15,55,mature upper,2.18357e-06,1.97471125e-06
15,56,mature upper,2.151502e-06,1.92317925e-06
15,57,mature upper,2.229366e-06,1.88414575e-06
15,58,mature upper,2.203439e-06,1.9026505e-06
15,59,mature upper,2.178153e-06,1.89333325e-06
15,60,mature upper,2.124651e-06,1.9018897499999998e-06
15,61,mature upper,2.156885e-06,1.8875264999999997e-06
15,62,mature upper,2.240384e-06,1.89894525e-06
15,63,mature upper,2.240519e-06,1.93301775e-06
15,64,mature upper,2.198312e-06,1.91538025e-06
15,65,mature upper,2.178992e-06,1.892267e-06
15,66,mature upper,2.189714e-06,1.90739675e-06
15,67,mature upper,2.160297e-06,1.9231205e-06
15,68,mature upper,2.232346e-06,1.9362947500000002e-06
15,69,mature upper,2.142893e-06,1.8657367499999999e-06
15,70,mature upper,2.189019e-06,1.9205194999999997e-06
15,71,mature upper,2.18884e-06,1.92477375e-06
