R,P,region,rbm_cycles,baseline_cycles,cycle_speedup,cycle_saved,rbm_time_s,baseline_time_s,time_speedup,time_saved_s,max_abs_energy_diff
0,51,mature upper,17,84,4.9411764705882355,67,1.49,14.899999999999999,9.999999999999998,13.409999999999998,2.2362667273512216e-13
0,52,mature upper,17,84,4.9411764705882355,67,1.49,14.1,9.463087248322147,12.61,1.3317125180378753e-13
0,53,mature upper,16,84,5.25,68,1.4,15.1,10.785714285714286,13.7,1.340039190722564e-13
0,54,mature upper,18,84,4.666666666666667,66,1.49,14.1,9.463087248322147,12.61,1.7319479184152442e-13
0,55,mature upper,18,84,4.666666666666667,66,1.5,15.0,10.0,13.5,1.396660564978447e-13
0,56,mature upper,17,84,4.9411764705882355,67,1.42,14.6,10.28169014084507,13.18,1.466882171285988e-13
0,57,mature upper,17,84,4.9411764705882355,67,1.42,14.399999999999999,10.140845070422534,12.979999999999999,1.6253665080512292e-13
0,58,mature upper,18,84,4.666666666666667,66,1.51,14.5,9.602649006622517,12.99,1.7494339310530904e-13
0,59,mature upper,18,84,4.666666666666667,66,1.49,14.5,9.731543624161073,13.01,1.1285417045314716e-13
0,60,mature upper,18,84,4.666666666666667,66,1.52,14.299999999999999,9.407894736842104,12.78,1.8809953594711715e-13
0,61,mature upper,17,84,4.9411764705882355,67,1.43,14.5,10.13986013986014,13.07,2.635947016216278e-13
0,62,mature upper,17,84,4.9411764705882355,67,1.42,13.799999999999999,9.71830985915493,12.379999999999999,1.9081958235744878e-13
0,63,mature upper,18,84,4.666666666666667,66,1.46,14.399999999999999,9.863013698630136,12.939999999999998,1.532107773982716e-13
0,64,mature upper,17,84,4.9411764705882355,67,1.42,14.7,10.352112676056338,13.28,2.354783035229957e-13
0,65,mature upper,18,84,4.666666666666667,66,1.54,14.0,9.09090909090909,12.46,2.103317520152359e-13
0,66,mature upper,18,84,4.666666666666667,66,1.49,15.1,10.134228187919463,13.61,1.3303247392570938e-13
0,67,mature upper,18,84,4.666666666666667,66,1.5,14.7,9.799999999999999,13.2,9.661715871800425e-14
0,68,mature upper,17,84,4.9411764705882355,67,1.47,14.399999999999999,9.795918367346937,12.929999999999998,1.3666845433135677e-13
0,69,mature upper,17,84,4.9411764705882355,67,1.43,14.299999999999999,10.0,12.87,1.9603763057318702e-13
0,70,mature upper,18,84,4.666666666666667,66,1.49,14.7,9.865771812080537,13.209999999999999,1.8032797477474105e-13
0,71,mature upper,18,84,4.666666666666667,66,1.52,14.799999999999999,9.736842105263158,13.28,1.3594680936535042e-13
0,72,mature upper,17,84,4.9411764705882355,67,1.47,14.1,9.591836734693878,12.629999999999999,2.222388939543407e-13
0,73,mature upper,17,84,4.9411764705882355,67,1.45,13.899999999999999,9.586206896551724,12.45,2.2881696537524476e-13
0,74,mature upper,18,84,4.666666666666667,66,1.47,14.399999999999999,9.795918367346937,12.929999999999998,1.9215184998699897e-13
0,75,mature upper,18,84,4.666666666666667,66,1.47,14.6,9.931972789115646,13.129999999999999,1.5459855617905305e-13
0,76,mature upper,18,84,4.666666666666667,66,1.54,14.2,9.220779220779221,12.66,1.4549472737712676e-13
0,77,mature upper,18,84,4.666666666666667,66,1.52,15.5,10.197368421052632,13.98,1.040556529829928e-13
0,78,mature upper,17,84,4.9411764705882355,67,1.42,14.899999999999999,10.492957746478872,13.479999999999999,1.6442402994698568e-13
0,79,mature upper,18,84,4.666666666666667,66,1.49,14.5,9.731543624161073,13.01,1.3339329640871256e-13
0,80,mature upper,18,84,4.666666666666667,66,1.54,15.299999999999999,9.935064935064934,13.759999999999998,1.2112533198660458e-13
0,81,mature upper,18,84,4.666666666666667,66,1.54,15.1,9.805194805194805,13.559999999999999,1.8790524691780774e-13
0,82,mature upper,17,84,4.9411764705882355,67,1.43,14.899999999999999,10.419580419580418,13.469999999999999,1.988131881347499e-13
0,83,mature upper,18,84,4.666666666666667,66,1.52,14.899999999999999,9.802631578947368,13.379999999999999,1.4488410471358293e-13
0,84,mature upper,19,84,4.421052631578948,65,1.6099999999999999,13.7,8.509316770186336,12.09,1.9462209621678994e-13
0,85,mature upper,18,84,4.666666666666667,66,1.52,14.1,9.276315789473683,12.58,1.5595857938421887e-13
0,86,mature upper,17,84,4.9411764705882355,67,1.45,14.6,10.068965517241379,13.15,1.8623991238087e-13
0,87,mature upper,18,84,4.666666666666667,66,1.49,15.5,10.40268456375839,14.01,1.457167719820518e-13
0,88,mature upper,18,84,4.666666666666667,66,1.47,14.399999999999999,9.795918367346937,12.929999999999998,2.7430835380926055e-13
1,0,mature lower,18,85,4.722222222222222,67,1.5599999999999998,16.099999999999998,10.320512820512821,14.539999999999997,1.0411116413422405e-13
1,1,mature lower,19,85,4.473684210526316,66,1.6099999999999999,16.099999999999998,10.0,14.489999999999998,1.6339707364920741e-13
1,2,mature lower,18,85,4.722222222222222,67,1.47,15.899999999999999,10.816326530612244,14.429999999999998,1.620370504440416e-13
1,3,mature lower,17,85,5.0,68,1.47,15.899999999999999,10.816326530612244,14.429999999999998,1.992017661933687e-13
1,4,mature lower,17,85,5.0,68,1.47,16.0,10.884353741496598,14.53,1.723066134218243e-13
1,5,mature lower,18,85,4.722222222222222,67,1.49,15.899999999999999,10.671140939597315,14.409999999999998,1.3941625631730403e-13
1,6,mature lower,19,85,4.473684210526316,66,1.51,16.0,10.596026490066226,14.49,1.8043899707720357e-13
1,7,mature lower,18,85,4.722222222222222,67,1.52,15.899999999999999,10.460526315789473,14.379999999999999,2.500499807212009e-13
1,8,mature lower,18,85,4.722222222222222,67,1.49,16.3,10.939597315436242,14.81,2.381705943577117e-13
1,9,mature lower,17,85,5.0,68,1.45,15.799999999999999,10.89655172413793,14.35,2.1124768601055166e-13
1,10,mature lower,17,85,5.0,68,1.42,16.099999999999998,11.338028169014084,14.679999999999998,1.7350010317329634e-13
1,11,mature lower,18,85,4.722222222222222,67,1.51,15.5,10.264900662251655,13.99,2.1671553440683056e-13
1,12,mature lower,19,85,4.473684210526316,66,1.54,16.3,10.584415584415584,14.760000000000002,1.8951507030351422e-13
1,13,mature lower,19,85,4.473684210526316,66,1.5899999999999999,16.3,10.251572327044027,14.71,1.4424572647442346e-13
1,14,mature lower,18,85,4.722222222222222,67,1.47,16.599999999999998,11.29251700680272,15.129999999999997,2.3964163986534004e-13
1,15,mature lower,17,85,5.0,68,1.47,16.7,11.360544217687075,15.229999999999999,1.826871987020695e-13
1,16,mature lower,17,85,5.0,68,1.45,16.3,11.24137931034483,14.850000000000001,1.6264767310758543e-13
